element,symbol,at_no,deGalan_a,deGalan_b,deGalan_c,deGalan_d,deGalan_e,deGalan_f,tamaki_a,tamaki_b,tamaki_c,irwin_a0,irwin_a1,irwin_a2,irwin_a3,irwin_a4,irwin_a5
hydrogen,H,1,2,0,0,0,0,0,0.00033336,-0.0056487,2.0235,-261.6559,163.4283,-40.61335,5.032829,-0.3109984,0.007666546
helium,He,2,1,0,0,0,0,0,0,0,2,-0.3765752,0.2339517,-0.05797555,0.007163332,-0.000441303,1.08443E-05
lithium,Li,3,2.081,-0.068926,0.014081,0,0,0,0.25279,-3.5744,15.171,-2145.677,1413.841,-372.2408,48.96628,-3.21835,0.08455449
beryllium,Be,4,0.9913,0.013175,-0.0063713,0.00096537,0,0,NA,NA,NA,-1087.958,716.0117,-188.3367,24.74997,-1.624979,0.04264359
boron,B,5,5.9351,0.010438,0,0,0,0,NA,NA,NA,-563.1804,361.549,-92.41568,11.79347,-0.7513412,0.01911676
carbon,C,6,8.6985,0.020485,0.017629,-0.00039091,0,0,0.011205,0.022139,8.8798,9.2172,-6.574748,2.046305,-0.2863345,0.01838097,-0.000429672
nitrogen,N,7,3.9914,0.017491,-0.010148,0.0017138,0,0,0.012776,-0.04414,3.8867,288.7173,-168.8723,39.12548,-4.450593,0.2472237,-0.005319455
oxygen,O,8,7.6413,0.74904,-0.20133,0.026166,-0.0012265,0,0.0029215,0.072856,8.3973,-6.262198,5.126517,-1.446913,0.2231968,-0.01781969,0.000571459
fluorine,F,9,4.5832,0.77683,-0.20884,0.026771,-0.0013035,0,-0.0021451,0.055623,5.547,-50.73154,31.13678,-7.507136,0.9141976,-0.05598014,0.001374829
neon,Ne,10,1,0,0,0,0,0,0,0,1,-9.897463,6.151563,-1.525103,0.1885263,-0.01161994,0.000285684
sodium,Na,11,2.0078,0.0023147,-0.0063878,0.0015002,0,0,0.29025,-3.7354,14.477,-2605.072,1714.192,-450.6327,59.17515,-3.881641,0.1017529
magnesium,Mg,12,0.99101,0.013474,-0.0064659,0.00097446,0,0,0.10932,-1.6363,7.2783,-2361.236,1536.666,-399.5739,51.89341,-3.366164,0.08725054
aluminum,Al,13,5.2955,0.27833,-0.047529,0.0030199,0,0,0.14928,-2.0223,12.906,-1668.577,1073.938,-275.9253,35.40607,-2.268754,0.05807375
silicon,Si,14,6.7868,0.86319,-0.11622,0.013109,-0.00062013,0,0.22473,-3.2624,22.124,-723.4289,452.6019,-112.9181,14.07852,-0.8771326,0.02185238
phosphorous,P,15,4.2251,-0.22476,0.057306,-0.0010381,0,0,0.035558,-0.076124,3.894,974.6309,-618.8279,156.648,-19.72144,1.233935,-0.03066711
sulfur,S,16,6.3025,1.276,-0.31216,0.042862,-0.0021798,0,0.011417,0.058682,8.4502,-63.07034,35.30987,-7.7141,0.8503007,-0.0474936,0.001086079
chlorine,Cl,17,3.8461,0.96051,-0.22542,0.026316,-0.0012008,0,0.0025888,-0.011225,5.6257,-141.743,91.14906,-23.29017,2.978391,-0.190121,0.004839773
argon,Ar,18,1,0,0,0,0,0,0,0,1,-150.8608,94.48346,-23.61051,2.942611,-0.1829102,0.004536418
potassium,K,19,1.9909,0.023169,-0.017423,0.0040938,0,0,0.72641,-8.3969,27.351,-1058.898,737.735,-205.0326,28.43534,-1.968095,0.0543892
calcium,Ca,20,1.0007,0.02054,-0.019616,0.004442,0,0,0.34326,-4.6083,17.404,-521.5211,410.7124,-126.3759,19.09766,-1.4227,0.04190853
scandium,Sc,21,7.5269,1.9781,-0.83425,0.16172,-0.0079095,0,NA,NA,NA,181.6446,-72.07318,5.869759,1.075202,-0.2001245,0.008873028
titanium,Ti,22,14.643,2.0096,-0.35619,0.1475,-0.0071902,0,0.90184,-3.2389,23.138,-542.8496,346.6351,-89.00992,11.5604,-0.7603095,0.02028631
vanadium,V,23,6.3211,16.446,-3.6791,0.52047,-0.022682,0,0.48996,3.1278,19.368,-1243.334,815.3788,-213.9193,28.10819,-1.848693,0.04869188
chromium,Cr,24,8.1008,-1.4239,0.54376,-0.048687,0.0030023,0,1.1741,-13.021,49.842,-880.8384,572.9335,-149.2898,19.54558,-1.287377,0.03417094
manganese,Mn,25,5.7492,0.36614,-0.17998,0.031845,0.00099149,0,0.78764,-6.9643,22.945,-1549.132,1047.621,-282.7774,38.12629,-2.567718,0.06910469
iron,Fe,26,10.658,7.3013,-2.2102,0.45301,-0.040732,0.0015017,1.7361,-21.19,100.37,-1156.095,746.5977,-192.8657,24.96584,-1.619345,0.04211821
cobalt,Co,27,7.025,6.933,-0.43327,0.016702,0.0010166,0,1.1086,-12.125,73.941,-1275.725,834.945,-217.8635,28.36657,-1.842293,0.04775919
nickel,Ni,28,8.9954,9.8924,-1.8785,0.19243,-0.0074831,0,0.61106,-7.6721,58.508,-1020.173,668.7584,-174.8414,22.82639,-1.486938,0.03865383
copper,Cu,29,2.1905,-0.1938,0.051491,-0.0014419,0,0,0.054196,-0.49475,3.7239,831.8419,-528.7133,133.6388,-16.75952,1.041374,-0.0256014
zinc,Zn,30,1,0,0,0,0,0,0.023875,-0.37121,2.46,-1201.405,770.434,-197.2935,25.21937,-1.609175,0.04100293
gallium,Ga,31,1.7931,1.9338,-0.4643,0.054876,-0.0025054,0,-0.059079,0.84502,2.3711,-1255.616,810.1152,-209.1319,27.00175,-1.74224,0.04492197
germanium,Ge,32,0.57739,3.0921,-0.60415,0.068353,-0.0031055,0,NA,NA,NA,-431.1758,299.1004,-81.5649,10.96682,-0.7275578,0.01908463
krypton,Kr,36,1,0,0,0,0,0,0.00065237,-0.01099,1.0455,-245.29,154.2889,-38.72784,4.849019,-0.3028491,0.00754801
rubidium,Rb,37,1.9869,0.0385,-0.028329,0.0061101,0,0,1.1609,-15.231,53.941,3855.893,-2268.413,526.9683,-60.2221,3.36984,-0.07333432
strontium,Sr,38,0.87127,0.20148,-0.10746,0.021424,-0.0010231,0,0.27823,-3.3006,11.651,650.8921,-340.2174,65.38932,-5.302256,0.1236995,0.002116922
silver,Ag,47,2.0158,-0.011712,0.0018709,0,0,0,0.077292,-1.181,6.5616,-7018.323,4378.781,-1091.25,135.8032,-8.439602,0.2095372
cadmium,Cd,48,1,0,0,0,0,0,0.034178,-0.52518,3.0361,-4330.543,2835.038,-737.0872,95.22195,-6.116984,0.1564132
indium,In,49,1.0731,1.1097,-0.13211,0.0063919,0,0,0.20733,-2.6861,13.381,-5759.054,3654.544,-926.4899,117.2861,-7.412735,0.1871146
tin,Sn,50,-0.19638,1.4075,-0.076152,0.0015788,0,0,-0.043208,1.1828,0.30386,-518.385,348.2566,-93.04939,12.32581,-0.807999,0.0209793
xenon,Xe,54,1,0,0,0,0,0,0.007526,-0.12727,1.5309,-27311.49,16374.18,-3918.03,467.7669,-27.86695,0.6627927
