element,lc,aki,ek,gk
aluminum,394.40058,49900000,3.1427212,2
aluminum,396.152,98500000,3.1427212,2
aluminum,555.7063,230000,5.3732134,4
aluminum,555.7948,229000,5.3728582,2
aluminum,669.6015,1000000,4.993821,4
aluminum,669.8673,1000000,4.9930889,2
aluminum,690.64,1150000,5.82,8
argon,394.7505,56000,14.68829018,5
argon,394.8979,455000,14.68711812,3
argon,404.4418,333000,14.68829018,5
argon,415.859,1400000,14.52891337,5
argon,416.418,288000,14.52491318,3
argon,418.1884,561000,14.68711812,3
argon,419.0713,280000,14.50606752,5
argon,419.1029,539000,14.68065021,3
argon,419.8317,2570000,14.57594866,1
argon,420.0674,967000,14.49905352,7
argon,425.1185,111000,14.46399565,3
argon,425.9362,3980000,14.73811524,1
argon,426.6286,312000,14.52891337,5
argon,427.2169,797000,14.52491318,3
argon,430.0101,377000,14.50606752,5
argon,433.3561,568000,14.68829018,5
argon,433.5338,387000,14.68711812,3
argon,434.5168,297000,14.68065021,3
argon,451.0733,1180000,14.57594866,1
argon,452.2323,89800,14.46399565,3
argon,459.6097,94700,14.52491318,3
argon,462.8441,38300,14.50606752,5
argon,470.2316,109000,14.46399565,3
argon,515.1391,2390000,15.3131552,1
argon,516.2285,1900000,15.30807757,3
argon,518.7746,1380000,15.29629312,5
argon,522.1271,880000,15.449653,9
argon,542.1352,600000,15.3620413,5
argon,545.1652,470000,15.18063346,5
argon,549.5874,1690000,15.3310399,9
argon,550.6113,360000,15.34600286,7
argon,555.8702,1420000,15.13684834,5
argon,557.2541,660000,15.31916789,7
argon,560.6733,2200000,15.11774626,3
argon,565.0704,3200000,15.10054359,1
argon,573.952,870000,15.312729,5
argon,583.4263,520000,15.29629312,5
argon,586.031,285000,15.02208821,3
argon,588.2624,1230000,15.0140654,1
argon,588.8584,1290000,15.18063346,5
argon,591.2085,1050000,15.00356575,3
argon,592.8813,1100000,15.18550787,3
argon,594.2669,180000,15.18063346,5
argon,598.7302,120000,15.14592818,7
argon,599.8999,140000,15.1610485,5
argon,602.515,900000,15.3594355,3
argon,603.2127,2460000,15.13054424,9
argon,604.3223,1470000,15.14592818,7
argon,605.2723,190000,14.95485191,5
argon,605.9372,420000,14.95260461,5
argon,609.8803,520000,15.18550787,3
argon,610.5635,1210000,15.312729,5
argon,614.5441,760000,15.31916789,7
argon,617.0174,500000,15.18063346,5
argon,617.3096,670000,15.1610485,5
argon,621.2503,390000,15.1669462,7
argon,621.5938,570000,15.29629312,5
argon,629.6872,900000,15.29629312,5
argon,630.7657,600000,15.13684834,5
argon,636.9575,420000,15.11774626,3
argon,638.4717,421000,14.84836887,3
argon,641.6307,1160000,14.83881088,5
argon,653.8112,110000,14.97152223,7
argon,660.4853,13000,14.97152223,7
argon,666.0676,780000,15.0140654,1
argon,666.4051,150000,14.95485191,5
argon,667.7282,236000,13.4798867,1
argon,675.2834,1930000,14.74254073,5
argon,675.6163,360000,15.13684834,5
argon,676.6612,400000,15.00356575,3
argon,687.1289,2780000,14.71089798,3
argon,687.9582,180000,14.95485191,5
argon,688.8174,250000,14.95260461,5
argon,693.7664,3080000,14.6936396,1
argon,695.1478,220000,14.95485191,5
argon,696.025,240000,14.95260461,5
argon,696.5431,6390000,13.32785693,3
barium,390.99092,49000000,4.290196,5
barium,393.57167,47000000,4.2919167,7
barium,393.78681,11000000,4.290196,5
barium,399.33989,55000000,4.2936693,9
barium,399.56551,8800000,4.2919167,7
barium,413.24266,1460000,2.9994298,3
barium,423.95552,24000000,4.5992541,3
barium,424.2605,5600000,4.488279,5
barium,426.44174,15000000,4.4273875,3
barium,428.30973,64000000,4.3067613,7
barium,432.30031,8800000,4.4339461,5
barium,432.51085,7100000,4.5414237,7
